Combo/MI name	Type	NID
	nhpid_ingredient	29853
	nhpid_ingredient	29854
	nhpid_ingredient	29855
	nhpid_ingredient	29856
	nhpid_ingredient	29857
	nhpid_ingredient	29858
	nhpid_ingredient	29859
	nhpid_ingredient	29860
	nhpid_ingredient	29861
	nhpid_ingredient	29862
	nhpid_ingredient	29863
	nhpid_ingredient	29864
	nhpid_ingredient	29865
	nhpid_ingredient	29866
	nhpid_ingredient	29867
	nhpid_ingredient	29868
	nhpid_ingredient	29869
	nhpid_ingredient	29870
	nhpid_ingredient	29871
	nhpid_ingredient	29872
	nhpid_ingredient	29873
	nhpid_ingredient	29874
	nhpid_ingredient	29875
	nhpid_ingredient	29876
	nhpid_ingredient	29877
	nhpid_ingredient	29878
	nhpid_ingredient	29879
	nhpid_ingredient	29880
	nhpid_ingredient	29881
	nhpid_ingredient	29882
	nhpid_ingredient	29883
	nhpid_ingredient	29884
	nhpid_ingredient	29885
	nhpid_ingredient	29886
	nhpid_ingredient	29887
	nhpid_ingredient	29888
	nhpid_ingredient	29889
	nhpid_ingredient	29890
	nhpid_ingredient	29891
	nhpid_ingredient	29892
	nhpid_ingredient	29893
	nhpid_ingredient	29894
	nhpid_ingredient	29895
	nhpid_ingredient	29896
	nhpid_ingredient	29897
	nhpid_ingredient	29898
	nhpid_ingredient	29899
	nhpid_ingredient	29900
	nhpid_ingredient	29901
	nhpid_ingredient	29902
	nhpid_ingredient	29903
	nhpid_ingredient	29904
	nhpid_ingredient	29905
	nhpid_ingredient	29906
	nhpid_ingredient	29907
	nhpid_ingredient	29908
	nhpid_ingredient	29909
	nhpid_ingredient	29910
	nhpid_ingredient	29911
	nhpid_ingredient	29912
	nhpid_ingredient	29913
	nhpid_ingredient	29914
	nhpid_ingredient	29915
	nhpid_ingredient	29916
	nhpid_ingredient	29917
	nhpid_ingredient	29918
	nhpid_ingredient	29919
	nhpid_ingredient	29920
	nhpid_ingredient	29921
	nhpid_ingredient	29922
	nhpid_ingredient	29923
	nhpid_ingredient	29924
	nhpid_ingredient	29925
	nhpid_ingredient	29926
	nhpid_ingredient	29927
	nhpid_ingredient	29928
	nhpid_ingredient	29929
	nhpid_ingredient	29930
	nhpid_ingredient	29931
	nhpid_ingredient	29932
	nhpid_ingredient	29933
	nhpid_ingredient	29934
	nhpid_ingredient	29935
	nhpid_ingredient	29936
	nhpid_ingredient	29937
	nhpid_ingredient	29938
	nhpid_ingredient	29939
	nhpid_ingredient	29940
	nhpid_ingredient	29941
	nhpid_ingredient	29942
	nhpid_ingredient	29943
	nhpid_ingredient	29944
	nhpid_ingredient	29945
	nhpid_ingredient	29946
	nhpid_ingredient	29947
	nhpid_ingredient	29948
	nhpid_ingredient	29949
	nhpid_ingredient	29950
	nhpid_ingredient	29951
	nhpid_ingredient	29952
	nhpid_ingredient	29953
	nhpid_ingredient	29954
	nhpid_ingredient	29955
	nhpid_ingredient	29956
	nhpid_ingredient	29957
	nhpid_ingredient	29958
	nhpid_ingredient	29959
	nhpid_ingredient	29960
	nhpid_ingredient	29961
